import time: self [us] | cumulative | imported package
import time:       950 |        950 |                             numpy.core.function_base
import time:      1071 |       1071 |                             numpy.core._machar
import time:      1082 |       1082 |                             numpy.core.getlimits
import time:      1155 |       1155 |                             numpy.core.einsumfunc
import time:       690 |        690 |                               numpy.core._multiarray_tests
import time:      1801 |       2490 |                             numpy.core._add_newdocs
import time:      1147 |       1147 |                             numpy.core._add_newdocs_scalars
import time:       866 |        866 |                             numpy.core._dtype_ctypes
import time:      1489 |       1489 |                             numpy.core._internal
import time:       822 |        822 |                             numpy._pytesttester
import time:      1445 |      44713 |                           numpy.core
import time:        32 |      44745 |                         numpy.core._multiarray_umath
import time:       876 |      45620 |                       numpy.__config__
import time:      1112 |       1112 |                         numpy.lib.mixins
import time:       700 |        700 |                             numpy.lib.ufunclike
import time:       968 |       1667 |                           numpy.lib.type_check
import time:      1129 |       2796 |                         numpy.lib.scimath
import time:       836 |        836 |                                     numpy.lib.stride_tricks
import time:       948 |       1783 |                                   numpy.lib.twodim_base
import time:       816 |        816 |                                   numpy.linalg._umath_linalg
import time:      1011 |       1011 |                                     numpy._typing._nested_sequence
import time:       749 |        749 |                                     numpy._typing._nbit
import time:      1407 |       1407 |                                     numpy._typing._char_codes
import time:      1013 |       1013 |                                     numpy._typing._scalars
import time:       881 |        881 |                                     numpy._typing._shape
import time:      2328 |       2328 |                                     numpy._typing._dtype_like
import time:      2346 |       2346 |                                     numpy._typing._array_like
import time:      1331 |      11064 |                                   numpy._typing
import time:      2490 |      16151 |                                 numpy.linalg.linalg
import time:       993 |      17143 |                               numpy.linalg
import time:       988 |      18131 |                             numpy.matrixlib.defmatrix
import time:       755 |      18885 |                           numpy.matrixlib
import time:      1034 |       1034 |                             numpy.lib.histograms
import time:      1757 |       2790 |                           numpy.lib.function_base
import time:      1254 |      22928 |                         numpy.lib.index_tricks
import time:      1144 |       1144 |                         numpy.lib.nanfunctions
import time:      1051 |       1051 |                         numpy.lib.shape_base
import time:      1361 |       1361 |                         numpy.lib.polynomial
import time:      1402 |       1402 |                         numpy.lib.utils
import time:      1003 |       1003 |                         numpy.lib.arraysetops
import time:       899 |        899 |                           numpy.lib.format
import time:       986 |        986 |                           numpy.lib._datasource
import time:      1004 |       1004 |                           numpy.lib._iotools
import time:      1242 |       4129 |                         numpy.lib.npyio
