import time: self [us] | cumulative | imported package
import time:      1001 |       2125 |         urllib3.contrib.socks
import time:      1171 |       8512 |       requests.adapters
import time:       867 |       9378 |     requests.sessions
import time:       834 |      10212 |   requests.api
import time:      1354 |     183775 | requests
import time:       836 |        836 |     tqdm._monitor
import time:       732 |        732 |     tqdm._tqdm_pandas
import time:        86 |         86 |         _ast
import time:      1427 |       1513 |       ast
import time:       983 |        983 |         numbers
import time:        46 |         46 |                 _opcode
import time:       707 |        753 |               opcode
import time:       976 |       1729 |             dis
import time:      1771 |       3499 |           inspect
import time:       690 |        690 |                 colorama.ansi
import time:        67 |         67 |                   msvcrt
import time:      2109 |       2109 |                       _ctypes
import time:       944 |        944 |                       ctypes._endian
import time:      1356 |       4409 |                     ctypes
import time:      1281 |       1281 |                     ctypes.wintypes
import time:       968 |       6657 |                   colorama.win32
import time:       841 |       7564 |                 colorama.winterm
import time:      1044 |       9297 |               colorama.ansitowin32
import time:       806 |      10102 |             colorama.initialise
import time:      1044 |      11145 |           colorama
import time:      1401 |      16044 |         tqdm.utils
import time:      1492 |      18518 |       tqdm.std
import time:       631 |        631 |         tqdm._dist_ver
import time:       843 |       1474 |       tqdm.version
import time:      1124 |      22627 |     tqdm.cli
import time:       865 |        865 |     tqdm.gui
import time:      1159 |      26218 |   tqdm
import time:       640 |        640 |   tqdm.autonotebook
import time:       670 |        670 |           concurrent
import time:      1118 |       1118 |           concurrent.futures._base
import time:       870 |       2657 |         concurrent.futures
import time:       987 |        987 |           signal
import time:       340 |        340 |           fcntl
import time:      1336 |       2661 |         subprocess
import time:       763 |        763 |         asyncio.constants
import time:       533 |        533 |             asyncio.format_helpers
import time:       647 |       1180 |           asyncio.base_futures
import time:       693 |        693 |           asyncio.log
import time:      1011 |       2882 |         asyncio.coroutines
import time:        49 |         49 |             _contextvars
import time:       828 |        877 |           contextvars
import time:      1197 |       1197 |             asyncio.exceptions
import time:       828 |        828 |             asyncio.base_tasks
import time:      1182 |       3206 |           _asyncio
import time:      1573 |       5655 |         asyncio.events
import time:       849 |        849 |         asyncio.futures
import time:       792 |        792 |         asyncio.protocols
import time:       662 |        662 |           asyncio.transports
import time:       949 |       1610 |         asyncio.sslproto
import time:       525 |        525 |             asyncio.mixins
import time:      1035 |       1035 |             asyncio.tasks
import time:       711 |       2270 |           asyncio.locks
import time:       907 |       3176 |         asyncio.staggered
import time:       801 |        801 |         asyncio.trsock
import time:      1308 |      23148 |       asyncio.base_events
import time:       967 |        967 |       asyncio.runners
import time:       814 |        814 |       asyncio.queues
import time:       822 |        822 |       asyncio.streams
import time:       777 |        777 |       asyncio.subprocess
import time:       647 |        647 |       asyncio.threads
import time:       914 |        914 |         _overlapped
import time:       843 |        843 |         asyncio.base_subprocess
import time:      1215 |       1215 |         asyncio.proactor_events
import time:      1063 |       1063 |         asyncio.selector_events
import time:       784 |        784 |         asyncio.windows_utils
import time:      1153 |       5971 |       asyncio.windows_events
import time:       859 |      34003 |     asyncio
import time:       801 |      34803 |   tqdm.asyncio
import time:       825 |      62484 | tqdm.auto
import time:       919 |        919 |   tqdm.contrib
import time:       945 |       1863 | tqdm.contrib.concurrent
import time:      1115 |       1115 | huggingface_hub.constants
import time:      1349 |       1349 | huggingface_hub.errors
import time:       695 |        695 |     _uuid
import time:      1248 |       1943 |   uuid
import time:      1307 |       1307 |   dataclasses
import time:       980 |        980 |       huggingface_hub.utils.tqdm
import time:      2048 |       2048 |         configparser
import time:      2339 |       2339 |           platform
import time:     15058 |      17397 |         huggingface_hub.utils._runtime
import time:       904 |      20347 |       huggingface_hub.utils._auth
import time:      1018 |       1018 |       huggingface_hub.utils._cache_assets
import time:      1412 |       1412 |               gettext
import time:      1279 |       2690 |             argparse
import time:       779 |       3468 |           huggingface_hub.commands
import time:      1275 |       4743 |         huggingface_hub.commands._cli_utils
import time:       925 |        925 |         huggingface_hub.utils.logging
import time:      3756 |       9423 |       huggingface_hub.utils._cache_manager
import time:      1078 |       1078 |       huggingface_hub.utils._chunk_utils
import time:       916 |        916 |       huggingface_hub.utils._datetime
import time:       858 |        858 |       huggingface_hub.utils._experimental
import time:       900 |        900 |           yaml.error
import time:      1521 |       1521 |           yaml.tokens
import time:      1044 |       1044 |           yaml.events
import time:       811 |        811 |           yaml.nodes
import time:      5543 |       5543 |             yaml.reader
import time:      1433 |       1433 |             yaml.scanner
